'0:00.000',0.192
'0:00.001',0.192
'0:00.003',0.192
'0:00.004',0.192
'0:00.006',0.192
'0:00.007',0.200
'0:00.008',0.200
'0:00.010',0.192
'0:00.011',0.200
'0:00.013',0.200
'0:00.014',0.192
'0:00.015',0.200
'0:00.017',0.200
'0:00.018',0.200
'0:00.019',0.208
'0:00.021',0.200
'0:00.022',0.208
'0:00.024',0.200
'0:00.025',0.192
'0:00.026',0.192
'0:00.028',0.200
'0:00.029',0.200
'0:00.031',0.200
'0:00.032',0.208
'0:00.033',0.215
'0:00.035',0.215
'0:00.036',0.208
'0:00.038',0.192
'0:00.039',0.200
'0:00.040',0.223
'0:00.042',0.200
'0:00.043',0.208
'0:00.044',0.215
'0:00.046',0.215
'0:00.047',0.215
'0:00.049',0.215
'0:00.050',0.208
'0:00.051',0.208
'0:00.053',0.208
'0:00.054',0.208
'0:00.056',0.200
'0:00.057',0.208
'0:00.058',0.200
'0:00.060',0.192
'0:00.061',0.208
'0:00.063',0.208
'0:00.064',0.208
'0:00.065',0.208
'0:00.067',0.208
'0:00.068',0.208
'0:00.069',0.215
'0:00.071',0.208
'0:00.072',0.208
'0:00.074',0.208
'0:00.075',0.208
'0:00.076',0.208
'0:00.078',0.200
'0:00.079',0.208
'0:00.081',0.208
'0:00.082',0.208
'0:00.083',0.208
'0:00.085',0.200
'0:00.086',0.208
'0:00.088',0.208
'0:00.089',0.192
'0:00.090',0.185
'0:00.092',0.177
'0:00.093',0.177
'0:00.094',0.185
'0:00.096',0.200
'0:00.097',0.192
'0:00.099',0.185
'0:00.100',0.192
'0:00.101',0.192
'0:00.103',0.185
'0:00.104',0.200
'0:00.106',0.192
'0:00.107',0.185
'0:00.108',0.192
'0:00.110',0.192
'0:00.111',0.200
'0:00.113',0.200
'0:00.114',0.208
'0:00.115',0.215
'0:00.117',0.215
'0:00.118',0.223
'0:00.119',0.231
'0:00.121',0.238
'0:00.122',0.231
'0:00.124',0.223
'0:00.125',0.223
'0:00.126',0.215
'0:00.128',0.208
'0:00.129',0.208
'0:00.131',0.200
'0:00.132',0.192
'0:00.133',0.200
'0:00.135',0.208
'0:00.136',0.192
'0:00.138',0.192
'0:00.139',0.200
'0:00.140',0.200
'0:00.142',0.208
'0:00.143',0.200
'0:00.144',0.200
'0:00.146',0.192
'0:00.147',0.200
'0:00.149',0.185
'0:00.150',0.185
'0:00.151',0.192
'0:00.153',0.192
'0:00.154',0.192
'0:00.156',0.192
'0:00.157',0.185
'0:00.158',0.185
'0:00.160',0.192
'0:00.161',0.200
'0:00.163',0.200
'0:00.164',0.192
'0:00.165',0.192
'0:00.167',0.192
'0:00.168',0.192
'0:00.169',0.192
'0:00.171',0.192
'0:00.172',0.177
'0:00.174',0.192
'0:00.175',0.177
'0:00.176',0.185
'0:00.178',0.185
'0:00.179',0.177
'0:00.181',0.185
'0:00.182',0.185
'0:00.183',0.177
'0:00.185',0.192
'0:00.186',0.169
'0:00.188',0.177
'0:00.189',0.192
'0:00.190',0.177
'0:00.192',0.169
'0:00.193',0.177
'0:00.194',0.185
'0:00.196',0.169
'0:00.197',0.169
'0:00.199',0.177
'0:00.200',0.177
'0:00.201',0.169
'0:00.203',0.169
'0:00.204',0.169
'0:00.206',0.169
'0:00.207',0.169
'0:00.208',0.169
'0:00.210',0.162
'0:00.211',0.169
'0:00.213',0.177
'0:00.214',0.185
'0:00.215',0.200
'0:00.217',0.192
'0:00.218',0.192
'0:00.219',0.192
'0:00.221',0.192
'0:00.222',0.192
'0:00.224',0.200
'0:00.225',0.200
'0:00.226',0.200
'0:00.228',0.192
'0:00.229',0.200
'0:00.231',0.208
'0:00.232',0.215
'0:00.233',0.215
'0:00.235',0.215
'0:00.236',0.215
'0:00.238',0.208
'0:00.239',0.215
'0:00.240',0.215
'0:00.242',0.215
'0:00.243',0.200
'0:00.244',0.215
'0:00.246',0.223
'0:00.247',0.223
'0:00.249',0.223
'0:00.250',0.231
'0:00.251',0.215
'0:00.253',0.215
'0:00.254',0.223
'0:00.256',0.215
'0:00.257',0.200
'0:00.258',0.185
'0:00.260',0.177
'0:00.261',0.177
'0:00.263',0.185
'0:00.264',0.185
'0:00.265',0.200
'0:00.267',0.208
'0:00.268',0.208
'0:00.269',0.200
'0:00.271',0.215
'0:00.272',0.215
'0:00.274',0.215
'0:00.275',0.223
'0:00.276',0.223
'0:00.278',0.231
'0:00.279',0.238
'0:00.281',0.238
'0:00.282',0.238
'0:00.283',0.238
'0:00.285',0.238
'0:00.286',0.238
'0:00.288',0.238
'0:00.289',0.246
'0:00.290',0.262
'0:00.292',0.254
'0:00.293',0.246
'0:00.294',0.238
'0:00.296',0.246
'0:00.297',0.238
'0:00.299',0.215
'0:00.300',0.231
'0:00.301',0.231
'0:00.303',0.231
'0:00.304',0.231
'0:00.306',0.231
'0:00.307',0.215
'0:00.308',0.208
'0:00.310',0.223
'0:00.311',0.215
'0:00.313',0.192
'0:00.314',0.185
'0:00.315',0.162
'0:00.317',0.131
'0:00.318',0.123
'0:00.319',0.115
'0:00.321',0.092
'0:00.322',0.062
'0:00.324',0.031
'0:00.325',0.008
'0:00.326',-0.031
'0:00.328',-0.062
'0:00.329',-0.077
'0:00.331',-0.108
'0:00.332',-0.146
'0:00.333',-0.169
'0:00.335',-0.208
'0:00.336',-0.254
'0:00.338',-0.292
'0:00.339',-0.331
'0:00.340',-0.354
'0:00.342',-0.377
'0:00.343',-0.369
'0:00.344',-0.369
'0:00.346',-0.377
'0:00.347',-0.392
'0:00.349',-0.400
'0:00.350',-0.392
'0:00.351',-0.392
'0:00.353',-0.362
'0:00.354',-0.346
'0:00.356',-0.338
'0:00.357',-0.323
